name,link,price,cashback
"
Смартфон Tecno Spark 20 8/256Gb Gravity Black (KJ5N) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/cdb5c41f-9e77-11ee-8120-dd7cbfe4cc23/,"
13 990 ",700
"
Смартфон Xiaomi Redmi 13C 8/256GB Navy Blue (23108RN04Y) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/473f93d7-9fce-11ee-8120-dd7cbfe4cc23/,"
13 990 ",700
"
Смартфон Xiaomi Redmi 13C 8/256GB Glacier White (23108RN04Y) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/c75980e2-9fcf-11ee-8120-dd7cbfe4cc23/,"
13 990 ",700
"
Смартфон POCO C65 8/256Гб Blue (MZB0FO4RU) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/ea7c8dfc-a331-11ee-8120-dd7cbfe4cc23/,"
13 990 ",700
"
Смартфон Xiaomi Redmi 13C 8/256GB Midnight Black (23108RN04Y) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/7b90007b-a336-11ee-8120-dd7cbfe4cc23/,"
13 990 ",700
"
Смартфон Infinix Hot 40i 8/256Gb Palm Blue (X6528B) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/e64f98df-bf7c-11ee-8121-ccae40f1d1a6/,"
13 990 ",700
"
Смартфон Realme C53 8/256Гб Black (RMX3760) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/9633455d-c1c4-11ee-8121-ccae40f1d1a6/,"
13 990 ",700
"
Смартфон Realme C53 8/256Гб Champion Gold (RMX3760) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/86762d16-f26f-11ee-80ea-bfd57f4940da/,"
13 990 ",700
"
Смартфон POCO C65 8/256Гб Purple (MZB0FJBRU) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/ec250f5d-f598-11ee-80eb-96ac15dec332/,"
13 990 ",700
"
Смартфон Xiaomi Redmi 12 8/256GB Midnight Black (23053RN02Y) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/5868e71b-2211-11ee-8117-b9090afac2f4-b83d9740-8e90-11ee-8120-dd7cbfe4cc23/,"
14 390 ",720
"
Смартфон Samsung Galaxy A15 4/128Гб Light Blue (SM-A155FLBDCAU) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/b6e0360b-bce3-11ee-8121-ccae40f1d1a6/,"
14 490 ",725
"
Смартфон Samsung Galaxy A15 4/128Гб Light Blue (SM-A155FLBDMEA) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/74516864-dad6-11ee-80e9-899d15001346/,"
14 490 ",725
"
Смартфон Samsung Galaxy A15 4/128Гб Brave Black (SM-A155FZKDMEA) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/dd503cd4-dad5-11ee-80e9-899d15001346/,"
14 990 ",750
